input,is_pd_id,split
B004Y3IL=I,no,train
A1GO3SI47Z0ZV0,yes,eval
A3HV5D3MNWISWD,yes,train
A2OSY3GMCJ6X4I,yes,train
B002M55HUY,yes,eval
No good for fr,no,train
A5CK6O*K70,no,eval
A3PZWB!E4U,no,train
Nostalgia from,no,train
A3L7GZ4D8WE5O3,yes,train
Our dog LOVES ,no,train
A37995K2F28T3J,no,train
A2DQC69AHABII1,yes,train
A1XNHD64GB8CPQ,yes,train
A3J9I0EWZZ9TNL,no,train
A2OMAHRS42UX7W,yes,train
A3M4LLZV4DSZP9,yes,train
B003IKXSXK,yes,train
A1F1K6DDSB32VK,yes,train
A2K159KD5DS7G6,yes,eval
A19FSTST6IYE1K,yes,train
A2EQG5970O2QOZ,yes,train
ACYRD6JMB0XNS,no,train
A329T6H0S1JXXN,yes,train
A307Y3LMCVEZS1,yes,train
AHF79VKP2GFRS,no,train
A3PCYV23ES5I8B,yes,train
A3KVLCAHE0928F,yes,eval
A1ZPU97IKI5SBU,yes,train
A1Z73ZMLV2RKOX,no,train
A19UMUMELRLBY6,yes,train
A36SEJHJX2QLAK,yes,train
APKQBK5EAZ6BV,yes,train
"!ood eso(, h",no,train
A1ZCHQKLGATEL7,yes,train
Handy by the s,no,train
A270SAG4WQLN28,yes,eval
A3HRV1C5JNGMWT,no,eval
B0025VPEB2,yes,train
A3RUY1Y0ZPNUJ4,yes,train
A1VC6BSB4LSB05,yes,train
Larg2r @0187IF,no,train
Seriously???  ,no,train
A1XSB658OC6IVL,yes,train
B007TFO3HA,no,eval
AT6CZDCP4TRGA,yes,eval
A1IQOWGJ4RR3QF,no,eval
A3J5U6VT5Z7IDU,yes,train
A2YDEKYKBGFW4,no,train
A2FOYZP40YH6ZH,yes,train
A87ANWA2ICN78,yes,eval
AWE88BBWRH1FJ,yes,train
AQF25DIBDDJXE,no,train
B000HDONOY,yes,train
B0063BJIPI,yes,train
A3T6S6NKPNXBIV,no,train
A32F3RJHOER53K,yes,train
A1MRI7MPITC7IA,yes,eval
A3ARPUKCI6R91Y,yes,eval
B000S4GTIA,yes,train
A3SOQOMHSSALW8,no,train
A2V60PMAKHW0SH,yes,train
B0001io0sly5Re,no,eval
A2K5E5JWW1JYG,yes,train
Wonderful dark,no,train
AHGMBETGJTCZN,yes,eval
A1IC4FI9SUH97Q,yes,train
Go*d buD3Q1,no,train
A16CTLUYRBW50Z,yes,train
AU87YU3HJ9DRV,no,train
A29OBHWJWWYDRZ,yes,train
A8A022YNMHFFI,no,train
A3FN2SVtly d%l,no,train
B003V8QGAG,yes,train
B86t Leprove,no,train
A1TWV6J49GPMG2,no,eval
A25H608JV60=G0,no,train
A29XB666BAYAX9,yes,train
B0002UMNDU,yes,train
A3=GL5OLX9RLIB,no,train
A2731AZYMXHG53,yes,train
Will gladly pa,no,eval
A1VS3ZQ3VY13WA,yes,eval
B0018OKA1Q,yes,train
A39XFJ7DQTT0W,no,train
A3G1M3HCC8WBLM,yes,eval
A2L5PRFt-ff!,no,eval
AKGLG5or yo,no,train
B004CH1V28,yes,train
Ain't_nnd co0p,no,eval
A2CCP1FOMMD25V,no,train
A39AQL63QJI1KK,no,train
ATHRCOFF3IZGU,yes,train
B004N5AVSE,yes,train
A2BY7EYPB9H364,yes,train
B0045TLLWS,yes,eval
A3C6E651GW72TN,no,train
A3VBRCT7GM,no,train
ANYNGATL97915,no,train
AIAED7W2Y8O4Q,no,train
02NIJT49TZIYJ,no,train
A20ZPGIGEXMOF7,yes,train
A2W4A21KIG0PNY,yes,train
AHIK7BUXFRMT8,yes,train
B004Nspice.,no,eval
AHTTY03Q3WMS8,yes,train
Smells GREAT!!,no,eval
%2TLXAF942,no,train
927NTH2TE^HI,no,train
A1XO4CG8L3W6Q4,yes,eval
B0&0Xn makes,no,train
A37RIDCJLOXOPF,yes,train
If you  Jell2(,no,train
A1BGV5)Spice,no,train
B009B87RWG,no,train
A17GJJSJK3Q0KQ,yes,train
B0050ILM2W,no,train
A2LFVX3F197)Y,no,train
B005DHZRA8,yes,train
A2MVU7C8CO9819,yes,train
B0029JICN2,yes,train
A1HZX5OL76IBJP,yes,train
A10Z7BS9F8MZHX,yes,train
A37ZTJ4K5U,no,eval
Dogs loFS70,no,train
jalepen84E,no,train
AUNQPBNXT3OVR,no,eval
Best Guac mix ,no,train
A2AK5K@2H8SJ7,no,train
A19N4ILGQ7JF49,yes,train
A1B0H7L3I88NHD,yes,train
A3QJQQZTKFV7BJ,yes,train
A1PEVEBJDJMY4B,yes,train
B000GJ5JO2,yes,train
Always arrives,no,train
AC2EVW12MU,no,train
A1ECPNWO6LGPTT,yes,train
A2JZAQLNGIWYBP,no,train
"nut miio2s,*b",no,train
B004UAYXJK,yes,train
A1VS4TH5F98KE1,yes,train
A1SS9UZ49EZ76N,yes,train
Torani Sugar-F,no,eval
B0ck toA3VP2,no,eval
A3439J4C22WCBU,no,train
B0057QHFW0F&5,no,train
B003SWGJAC,yes,eval
A1563EMUJ5QSTL,no,train
B0049ZK3NG,yes,train
AK8473OL5NJY8,yes,train
A38WIETH4AFG7O,yes,train
B0041K6R5WO2M,no,train
B000UGUWZM,yes,train
A1JEF3RK8JMU51,yes,eval
3006Worder,no,train
CanyoBJO62+TG,no,train
A2NHJ3UUON7DX4,yes,eval
A3K4FNA4FBCMJB,yes,train
I Prefer Prima,no,train
A2YP4WXKSHH86R,yes,eval
B308Y#CC1Q3J,no,train
Stays Crunchy ,no,train
Not t8ae bill,no,eval
A1V6D5EBCX1T1S,yes,eval
ASEPIFSHR9FT7,no,train
AG9RU9the E,no,train
A3GY8NYC3K6JF3,no,train
A2043EZU$NOWP,no,train
B003VOP6GU,yes,eval
A14VTATJAALTB9,no,eval
A2122DQ024ZX4H,yes,train
A12OECM(XA0,no,train
A3G9PLHNYXW2VH,no,train
A2S4EGOO7ADNTP,no,eval
A3U1JB2PXK8HYH,yes,train
A1IANEBSMVGHS9,no,train
Tasty?0s like,no,eval
ACWSLC5PSZAXF,no,train
Secon2 30@G,no,train
B000MME6ZQ,yes,train
ADNTJOUHN9G47,yes,train
A1OAOZHDE5G5YP,yes,train
A2JOSU7X9YENOT,yes,train
A11AK63DN89V4T,yes,train
A3TMW66VGMG8RL,yes,train
I Can't believ,no,eval
A9S8V3F85E9,no,train
B000JJLXXK,yes,train
B000084F6E,yes,train
A2UB4GZ4MGFXHU,yes,eval
A5923Tw Mi9ty ,no,eval
A1SF0D4SI21B3J,no,train
A5LRA8KJ88635,no,train
A1CM1TXDWB29JI,no,eval
Woo-owDMOI,no,train
Best do3ZH38I,no,train
A15DB87F3SPEHK,yes,train
Sojos Organic ,no,train
B00557422L2893,no,train
B0081XAVPN,no,train
the SPIQMJNO,no,train
A315F6EFV2B0QY,yes,train
AM87LJ2TF9TQ0,yes,train
ACDJ7K3YIRWI6,no,train
A6SAVYTIHSUC6,yes,train
B000S15BZ0,no,train
AAYZ50LGPOWCD,no,train
A2E27XIMIOWOEV,yes,eval
A3RMQOEy twis,no,train
A1TG3OU0JDNBO1,yes,train
A1DS089UD8EX14,yes,train
A38TCUYLR0DEI,yes,train
A1LPG903NMIRW3,no,train
A8KHFTYO5R0U6,no,train
B^02YW0QT4F1H,no,train
B0062 h1t or c,no,train
"Trolli "" King ",no,eval
AA9LRZ8KW82QW,yes,train
B001F1VR8C,yes,train
B002HFPW6I,yes,train
A2ZDJPOUT5KJXX,yes,eval
B005YDKH603,no,train
ALX9Z20805MAL,no,train
A11PV4P74AK,no,train
A2VTL2ABZ68KM3,yes,train
Italian Greyho,no,train
AS40IKNJHA8O2,yes,train
A366YDJP138NAS,no,train
A1JDKVO1SQK45E,yes,eval
A1ZKOIN341N50Z,no,train
A2CHWMZ66L9QUY,yes,eval
"Robust taste, ",no,eval
A2KKMUFK8XOATN,yes,train
B003DA54XC,yes,eval
!alk abpoon bu,no,eval
A3BGIS80UZ2Y0B,yes,train
B004HL1MDW,no,eval
It's a great p,no,train
B0082VSDIA,yes,train
A1M7740B9RPBUY,yes,eval
A25CT29K4AWWNP,yes,train
A3D3DPNU77IPF9,yes,eval
A2VHCA21QKNEKE,no,train
Bacon Jam on G,no,eval
AGYZTP28U0JR7,yes,train
AV2GSLV1H5BI0,no,train
A1XLCKTZ*504,no,train
A35JRI0U8YTGE7,yes,train
A14US3KZ07UZEF,yes,train
B)00692800,no,train
A38UNI88GFRH60,yes,train
B0025ULV7Y,yes,train
A3L6NIAQ8WHDL4,yes,train
AGQWHPNDZGUD0,yes,train
A2VUNJQ13I4YR2,yes,train
A3FHPENPL8OD2J,yes,train
A2CPXA7YDLIF39,no,train
A2B57HAF2Q8B4V,no,train
Good G2 gonna ,no,train
A1BX7PE0IGDK9L,yes,train
A1URAPIM7Q,no,train
My Dog6XNO,no,train
Gentle 0MW,no,train
A15OI9E8FBP5BU,yes,train
73BTBIV54BMZ9,no,eval
A33GDQ29P7K9VE,yes,train
AEXQ4DGMPCZ03,yes,eval
A3PXHFFQ3IURXO,yes,train
A1CGLU68IS3F52,yes,train
A3RVSS07VEXQVE,yes,train
A3MJVL2TYI0BVB,yes,train
Sugar Free Gum,no,train
A3BB5GXKNON9NQ,yes,train
B008JV35H2,yes,train
"Best ""Hney Ta",no,train
A8EU4T4VS50N5Q,no,train
AJ9CQ56YJJ3OT,no,train
Super food - u,no,eval
NO TUNA!! FALS,no,eval
A2FNJ0LJ9C3AW7,yes,train
No taste tea,no,train
B0045EMOTL,no,train
A1FKBANVSGYKX9,yes,train
A1TWFAEVY6FH13,yes,train
A1RR2F48GWH61B,yes,eval
Very goIPPOE,no,train
B401VC165DJU,no,train
A30FNBT5DHIOQA,yes,train
We 0ov*8GRZ4H,no,train
Great Treats!,no,eval
AWHWUDLNDHUJG,yes,train
A3JXQ91A1MWFQ6,yes,train
Peter P fo,no,train
A2FUCWDBN80VLW,yes,eval
A12XB1C6X7HUA1,yes,train
A1NA6BUNCWIYSG,yes,train
Worksor Every,no,eval
0 cal lifewate,no,train
t1ese tOV8,no,train
B001SAXVW0,no,eval
A26UXWVPDZ5FEB,yes,eval
AZ9XBE8830AAH,yes,train
B001SBWGUC,yes,train
Best Darn Jerk,no,eval
B000RHUUGK,no,train
Finally tastes,no,train
A0XB16OWRRG47,no,eval
A2RVDIYGDNZWNU,yes,train
B0017QM0E0,yes,train
A2CAX9Yus ch,no,train
B001EEPG3C5X1S,no,train
A3J#R0Qother ,no,train
A8H3YIQSZZIMN,no,train
A1N^6ZR6KXHCD,no,train
B0046HFE6S,no,train
gr^at3hJCX,no,eval
B000NMI7RI,yes,train
A2QUMXR1AAWDR3,no,train
Ok if you love,no,train
AHRYDAHVEQDJX,yes,eval
A2V2RXFB2EEAV3,no,train
A2HB8T3YR1WPML,yes,eval
A8H41WNXGYFNT,yes,train
I love this pi,no,train
A13NAZGDYT9X1J,yes,train
A295LMX7IN0F74,yes,train
B0-0Lyou say,no,train
A1D4OWGUSWO2JA,yes,train
B0012KCUHI,yes,train
A2H052G1LFK1O1,yes,train
A3AKB3PZ4ZEA6V,no,train
F8N SU7for C,no,train
A3SXVPZEPNBNKB,no,train
A37843N1J5A3,no,train
B0009F3SAA,yes,train
A2TDW828V8CM,no,train
B0019GVYR2,no,train
2=35JRTUJJ5C,no,eval
A1CAO6O07L4JJP,no,train
B002O013A0,yes,train
A1TEUM43U5,no,eval
ASQS0WCXBQDQJ,yes,train
A1B7BGLV905XRY,yes,eval
B-050O7GL2,no,train
A180J32FPT4NON,yes,eval
Fa*se iQDW09&Q,no,train
A3UV49CC25DCE1,yes,train
A2B89VLtro to ,no,train
B003DA54LO,no,train
A1QBD0QATD1I9E,yes,train
FLAVOR IS TERR,no,train
great 24I0,no,train
B00176AZ2E,yes,eval
A3EJZJXGIFQPY4,yes,train
Ver= sCUWYB5,no,train
A92PPFLDJ9UX0,yes,eval
B001EQ5ABI,yes,eval
A228H80VATWR9V,yes,train
B001652NBM,yes,train
A21SXUZ7is ,no,train
AGVTRQPCLP9BV,yes,train
A31210SUA1MYDE,yes,train
A3LMKKXPUABJ4D,no,train
B003D0WH6Y,no,train
A14HWY5A1I1O3,no,train
"Tasty treat, d",no,train
Pricey Hot Cho,no,train
B000WN0T74,yes,eval
A2571KCJ997UBY,yes,eval
A2RZAWXOG7DKTT,yes,train
Big and small ,no,eval
Nice presentat,no,eval
The besWish3#h,no,train
B001DKEPJ8,yes,train
A2WVEN8JF81ZAW,no,train
A3A0QL6OGB7W48,yes,train
A1GXYCW32A0KMS,yes,train
B0001BGTV2,no,train
A28PZZF3L7C9N,no,train
A2GYBVMV4HFVQA,no,train
AP1FWNGNWO8JM,yes,train
A1IAB3HFPM1UJ5,yes,train
A2J7B5I5JX320N,no,eval
0232ZHZ6UI,no,train
ANGTM3VPCHL9R,yes,train
A1Y5UVPOZB1DJ1,yes,train
A3SL6O0Z5EPZYH,yes,eval
A2PV4M5RJ2X7,no,train
Best Decaff co,no,train
A7eso7e1K6IVU,no,eval
A2ACQQMTIA6AX,yes,eval
Good s7rade,no,train
A35M29B0MPMWRN,yes,train
Not Atea aro,no,train
what's 27P,no,train
A3HGDYTORDT68S,yes,train
B000LQN5LY,no,train
9001BLIIHBB6,no,train
A7FQTG9JLJ4R,no,train
AHVVF7JXQ3FAI,yes,train
A38J12W452PVSJ,yes,eval
731DZA4 IT,no,train
A3ANRNLH$I,no,train
A1EA4O0W9BNE1,yes,train
Perfect*7U,no,train
A3EO88YJNZMVOG,yes,train
A1GP6UX2Z5P1LT,yes,eval
A18EWGX26RJ1A7,yes,eval
B002SIS2T8,yes,train
A3BGE13O7SQ9HA,yes,eval
Easy+$oF75,no,train
A78FREUAJ4FEL,yes,train
A2XHRHRDFXRQX8,yes,train
B002U snack5  ,no,train
A9N58TIWN7QQG,yes,train
AYUCCFUVEEMAU,no,train
I'm now a crea,no,train
AmazinG0B0F79J,no,eval
A1L61Q4T6WTGFD,yes,train
A2F170NXP8JKON,yes,eval
A2SJ4VQ7H3FFS5,yes,train
A1MDR9QQDPEILD,no,eval
B0046HNTVA,yes,train
A1GJ99JJVAD73W,yes,train
A3F85X9UL6,no,eval
A5BAE3SEOGND5,yes,train
A1ZWZFD0YEM2WK,yes,train
A1UNOZ144ZRDME,no,eval
A1XEO0U9V7V6Z4,yes,train
AL450SFFBZJFL,no,train
B000LQNCIA,no,train
ALIDUZEWPVOCU,yes,eval
A3MMPASCIGT1E7,yes,train
B004BRM1UK,yes,train
A1TNAZO21RXAVU,yes,train
A1BP6E3XTPMHSY,yes,train
A37FGSJPI6OYYU,yes,train
AUGQIE6QAFAYJ,yes,train
AJ5VXWD4UATLO,no,eval
A111DK44LA8VT5,yes,train
B0035VNYSQ,no,train
A69QH6AF2GAT9,yes,train
"n$w ""s(OV0",no,train
A257LFH8YS,no,train
B00^0WP12U2,no,train
Mexican Coke C,no,train
AV8Z34HIEUNQ6,no,train
B000N8OLCC,yes,train
B001EPQYB4,yes,eval
B001Vasant2,no,train
AYPIH8N2RNXGG,yes,train
B001CJSW5S,yes,train
A31QUJ7SRX02FU,no,train
A44K08ZPD9M9F,yes,train
APZ7C3US3HT2U,yes,eval
B002HFNEF4,yes,train
B002L28D2M,yes,train
B001EO5TVG,yes,train
Both 8yYQ6,no,train
A3NIIYETZD9IF0,yes,train
A2ZEQSOFCEV3E1,yes,train
tetley loose t,no,train
Nutiva #!C,no,eval
B000KKOJHU,yes,train
A!EVR_6iber,no,train
A1D2KSKAJQL3O6,no,train
AMWWZHWK6PIRL,yes,train
A2IZ0XXB94I6OW,yes,train
A1OSFKOLIVQPLY,no,eval
AC4RUI6GHY5S0,yes,train
caraw4ySE!  ,no,train
Olive Salad by,no,train
B0045GZ0IC,yes,train
A3ITL2D9Q87ZF5,yes,train
octaviatisif,no,train
A181LOC0HE4OAS,yes,train
B007ZUFQLG,yes,train
A2TNRXR7CR47BL,yes,train
B003EI1DLD,no,train
A20IHNXMXXBRZ,no,train
AZFMAEZSHHDW0,yes,train
ARZCDMT98PN7U,no,train
A1H7PDEBFZ0WWI,yes,train
APMKJOG2D5PXH,yes,train
AUAI9MEBEBLL7,yes,train
A1RG805X6+1,no,train
A3D75RUVCGQ4UH,yes,train
Be@t su6VV3Z,no,train
A27ACOKY7BZELD,yes,eval
A3IPKJ6p+st,no,train
Awesomeis7,no,train
AKMHBK8Y04L3U,yes,train
A1K9C71J6EKO78,no,train
A12JWESEIM6DFN,yes,train
AZM6HJ1BTYNY9P,no,train
A519B)UETN0,no,eval
A195WHPP87Y663,yes,train
Marmalade Made,no,train
My chihuahua l,no,train
AQ83OCQYV7SGX,no,train
A2Q0U1URKDYRR3,yes,eval
A3CYPVX47KS6CE,yes,train
Herring in Hot,no,train
A3VZWEO9NNZVM3,no,train
I+ has B1Y,no,train
A1K9OK1SC4E8CC,yes,train
AMSAKAGEPPAPN,yes,eval
B005YE1LOG,yes,train
A5HNV7KWNFY81,yes,train
A3OM5F5JWIBCAN,no,train
A3CTVVG8QVD5ST,yes,train
A32YFOXC1O266I,yes,train
A32NTVMI55XOC2,yes,train
Verry79MZCA,no,train
A2HKWBOEF47G0A,yes,eval
A3V8GE9WBX54SZ,yes,eval
A15PX4T8JB3SL5,yes,train
Awes1mes p6,no,train
A27P9SDST3XWEK,yes,eval
B000GRBSV2,yes,train
A10U1EM40CFFRZ,no,train
Tea5for and ,no,train
B002NVJ262,yes,train
A8GE5L1DLJP68,yes,train
A2KSRI7O4KAQRO,yes,eval
A126U6T5VTFV2W,yes,eval
This isnt o,no,eval
A3EEABHWO6O5O3,yes,train
mmmm b87TY,no,train
B004N8CEJA,yes,train
A1A2SMZRLE,no,train
A35YLEV296HG72,yes,train
A3CUAO05A71W35,yes,train
A1P8D9TDOSRRCM,no,train
B0070EXNKS,no,train
A1GJWWQZL0WM89,yes,train
A36CVFLUJAADLZ,no,train
B0013-6HLO,no,train
A3PQ8BGBBM2VA4,yes,eval
A3HOEAWRLBFCN4,yes,train
A3GD((VA-M,no,eval
A3LAK3K3AYUEOS,yes,eval
B001EPPCOO,yes,train
A3LIZLEBites,no,train
AEZ9VQOGXE6BI,yes,eval
1S89BW4S02E,no,eval
A39VB0WHFVQIN,yes,train
B001EO7K4K,yes,eval
A27YOVZ5DAJ37B,yes,train
B0014C0HG0,no,train
B000EGSULQ,yes,eval
A295S0V6DW8OM,no,eval
A2MWEJ56JSJ7UN,yes,train
B007V86YL8,no,train
13V6RB6 c=,no,train
A3QK9EP6C9FX01,yes,train
A1PNXXVNCH8TDI,yes,eval
A7NDIQ5QSBC6A,yes,train
A14J4WEKLYA9VL,yes,train
A1OPSUT5LIAUQY,no,train
A1VW0SVJ8X2JIX,yes,train
A1Z27IP1Y7ADIK,yes,train
Better than th,no,train
A3ACQS7P56RIDV,yes,train
A2W5P2X383UK8H,no,train
B005I3PAU4,yes,train
ALE0EN889MO8Q,yes,train
A1H4X5O0G0P6UQ,no,eval
B001688AFC,yes,train
A3K4MG52R20J5Z,yes,train
A2CJKQ0DOE5ARF,yes,eval
B0049MDROG,yes,train
A2JGU66EGYRDKD,no,train
A28Y432grea,no,train
A3FX4C8M8Y3UM5,yes,train
A2VYG0WZGYQ195,yes,train
AFF736OI2RKW0,yes,train
AUE05A41ALEPX,yes,eval
B005WH71L7ZXD,no,train
A3DAOREAB24GR1,yes,train
If Do3gt -ne C,no,train
My son  Bol7,no,train
A3HEEP9F0AQTKG,yes,train
Good Clean Tas,no,train
A2GTE5ZG64A,no,train
A1Q87N400P5X6W,yes,train
B002HMLMHY,yes,train
B004779XSM,no,train
A19A7GPCH2P687,yes,train
NOH Hawaiian S,no,train
AIM6+OT94NQTJ,no,train
1RRRR0X1VWC1,no,train
B001RNYED8,yes,train
B004LQJJOW,yes,eval
A2JS37XWAZOFOU,yes,train
A3NSY827I586NE,yes,train
A19MKY6VLYA33V,yes,train
4uts abG63KLHJ,no,train
A25OD5P9HHKFI4,yes,train
Br#lliat memor,no,train
B0046a) orde,no,eval
Not a plastic ,no,train
B003EMXLNO,no,train
Worth AL76,no,train
B000VMLFOM,yes,train
A3RNH24have w,no,eval
A3N7OZQMWBONXS,yes,train
6EJSRTIR0SNR,no,train
Cesa9 Por ,no,train
AYYGHB6EXBNGW,yes,train
A32ZTE i6 an,no,eval
A3T57FGKVV2MXL,no,train
A3AFWHP5N2L4R5,yes,train
A2GKQQNXNHL9,yes,train
A29COAL60SB48B,yes,train
A1TW927trong,no,eval
One:6nec#Shoc,no,train
excellent Laps,no,train
B003384NNG,no,train
A2XPU86 5n,no,train
APM31FR0WDNOT,yes,train
B007TFO3HA,yes,train
A13Q9RC8IKYOWD,no,train
A3LLU0PZ1026GN,yes,train
A1S05KAAUNUTW4,no,train
A26GWD3WMLY4LD,yes,train
Plenty3ER2R,no,train
A883OODK4J114,no,eval
A2OY3MCJQSRSUO,yes,train
B006VRTQZG,no,train
B001EPPB3G,yes,train
B000KNB7BS,yes,train
A3TY5SBIVLDRNI,yes,train
A2O96M1P3336H5,yes,train
AS4W264N79I7(,no,train
A3GZEEL2D4P8FN,no,train
A2PMCZJ8GJJ9SY,yes,train
A3GZ24EH9ZYLB6,yes,train
A1D89J8UN7SUAO,yes,train
A27ZB8V4OL2JMT,yes,train
A5NQLNC6QPGSI,no,train
A2TINR5PLZD832,no,train
A3S0JTXKWHUBX0,yes,train
AQH0&F4R1A,no,train
A2NHXWDor ,no,train
my mud pup lov,no,train
Don'! wB1N4,no,eval
A25LRMH0CPOJD7,no,train
A3AW6P4XGCUQWN,yes,train
ABEPIX4DK0GL8,yes,train
Love them Bisc,no,train
Chocolate good,no,train
A30KHZ0X2TE23F,yes,eval
B001EQ5KN6,yes,train
AW2UGKUU%8,no,train
Very well done,no,train
ABXGAJ2PBCHBW,no,train
B000633XH8,yes,train
A1T361N...ex,no,train
The Peach Tea ,no,train
B0012YGTBW,no,train
A3465MPT114VGA,yes,train
A3GTDNZCWK22EH,yes,train
"Weak, wR7N",no,eval
A1SS2L1406URWT,yes,train
Birthday gift,no,train
A2FX4UI3P8V555,yes,eval
A3GPI(4MU3,no,train
A2DZAKY06Z2%KO,no,train
A_RSQ974MOGXK,no,train
A1B2PWF2KGR0A7,yes,eval
B008R7HKPQ,yes,train
A215H6PVUOQNBY,yes,train
AX82QYAX17AO,yes,train
AMTAH(86QA36,no,train
A3A7147E1ZH3LP,yes,train
A21JU116Y8PHPH,no,train
A2M3GYHWS9,no,train
A3H1OLK7TCCASY,yes,train
41JRPCAATFQ$,no,train
A2T4C1WVJRPNQ3,yes,train
A3K9DG8CBTO5GP,no,train
A3QK7TD8GMJ271,yes,eval
A3B3YYLNXQ28FI,yes,train
B005AO14OW,yes,train
B0040M8722,yes,train
A358FD3PJQ0N0J,yes,train
A13Q6WWE21ROBX,yes,train
A2QNZRDVBQJXTQ,yes,train
A3PRVY5OU76U4V,no,train
A2JJST85PR9MIX,yes,eval
A8ZRG7F3XM0Y6,no,train
B005OTPL24,yes,train
A24G6YQ3ITUSPW,no,train
A8T44PNP4OXO&,no,train
A1A5VF6KKYU8BP,yes,train
BEAUTIFUL GIFT,no,train
A7AYQNJ8QXBT7,yes,train
A159MD4HSUQT54,yes,train
AHV7DW4MDA911,no,eval
B004BR678W,no,train
B0007i1s 0,no,train
My Dogsthe ,no,train
4ender 4TI,no,train
A1BD2GPUEV08WX,yes,train
A1M5MJUPPYK5B4,yes,train
A1VRH2HFG9LPMO,no,train
A2MG9PECP7JHWP,yes,train
Crushedo4 ,no,eval
great vitamin ,no,eval
B003P9XGI6,yes,train
AJVUPIVVT2HPA,yes,eval
A3OKHRVUAJU2FW,yes,train
A1LYXFGK5DOGBG,yes,train
B005VTXLS8,no,train
^OLM0GJFSGWT,no,train
B003GMGQSY,yes,train
Check tFZELYP,no,train
I enjoyod(reli,no,eval
A3UDAZ2T0EZU8M,yes,train
A1VZSVEF6TJEYJ,no,train
Would be much ,no,train
A1K0GOE46VBA38,yes,train
Greatest cat f,no,train
A3GH5XMSPELEW0,yes,train
A great everyd,no,train
A1-ZC42PMWUZB,no,train
A1PAKAIEF00S1,no,train
A1LADXNPI4UCAL,yes,train
B00009ZJ2Y,yes,train
Pretty good-,no,train
A3IUP0A268DQWE,yes,eval
Excellent Fat-,no,eval
A2IIWWE0HOGN4B,yes,train
A1ZI9XKEKKWX6J,no,train
AXXTV4U4OJH9N,yes,train
A2ZORA1LAJL58U,no,train
A10Z2RP8PPREMF,yes,train
Fra)ra@A473,no,train
A2X8BX&KR6,no,train
A13A0EE7L3YZNB,yes,train
B0035CMA7Q,yes,eval
B002HQP9AG,no,eval
A112UT0MHIH6WJ,yes,train
A3PBDS0C38K5X9,yes,eval
A3CHSEPE4Y,no,eval
A3HOOVXMB12OJX,no,train
B000KETAGG,yes,train
A2F=P48ons$o,no,train
1asy toN6SG7,no,train
sur3r4s1LI,no,eval
A2IXKRFLNM4LDM,yes,eval
2nd best avail,no,train
B009H Ba-on,no,train
ARC426 soy ,no,train
A6OLGXCVNLN3,yes,train
B0050ILFCO,yes,train
A3OJ2SQXBECEV1,yes,train
not to my tast,no,train
A32LDVH1YCSAQ9,yes,train
A%go3d W504SY,no,train
A1T4KRDH64IF,no,eval
A11XDHNP9LII9J,no,train
A$03V9VGLM,no,train
A35QXDISIBA4KR,yes,eval
A2HRJMGPNEF3DF,yes,train
Great for when,no,train
A3HIJ9862V5CX6,yes,eval
AS16H6PPQOHWC,yes,train
LOVED IT !,no,train
ACGB8QG1ZGRTC,yes,train
BUY7R BIZWNQ,no,eval
Pure 3rcaf b,no,train
A4C2K7GAJOQUH,yes,train
Would you feed,no,train
B=08-15$3Q,no,train
A24RFG44NRYPWM,no,train
Freshness coun,no,train
B002XG2RQO,yes,train
3ot 5us7ny,no,train
B00473NKZI,yes,train
A2LC5VQSRHI9DX,yes,train
I love Nutiva!,no,train
B0006TN020,yes,train
AN08CBQO0JMPG,yes,train
Raw Oat Sensa,no,train
Coconut Manna ,no,train
A20KYEH96R,no,train
A1HG38AMSR439X,yes,train
Good Sugar-fre,no,train
A1JLC5U5Z0EHDZ,yes,train
A380OP9BPP7T1R,yes,eval
A12D19YNNPSWVX,yes,eval
YORKIE HWH6V7,no,eval
A2P0ODD(ES,no,train
A1I35LUONR5L3X,yes,train
They've added ,no,train
A3VINJTMIODD05,yes,train
A1JBUB9TES0PTV,yes,train
A218D2OPRUDC7M,yes,train
A1OSA7H74FQTN3,yes,eval
A2Q99CTAE2733M,yes,train
A2DBBMAM9VNTYM,no,train
B0002F9Y14,no,eval
AZ8Y3MES22UNV,yes,train
A1I4QB5K8TJYQU,yes,train
A3UWHRSMAN4TOM,no,train
A3K5XRJR1UCP8Q,yes,train
A3I36GC853ME6T,yes,train
B0045FCUKE,no,train
A3V279QKZFPPCZ,yes,eval
A282CQ51MUURN0,no,train
A3QGN22EKJ9FFU,no,train
$itti0sZE=,no,train
"Darker,2MD",no,eval
ATF3A1MYUB2NI,yes,train
A2WCL6A3IS1X3Q,no,eval
A1F67RFalue *a,no,train
B0002I0GVS,yes,eval
Pl#ases000,no,train
A2FTN52ODGP2EB,no,eval
A303L1X41G4AOM,yes,train
A12RAP0ZY1UNVH,yes,train
A2ANPUUMM0Q0OF,no,train
A3DQ2E1CQQLW22,yes,train
B000NOXC0I,no,eval
A2ZEGYXOROLBTL,yes,train
A3DXVC1KCQIK9N,yes,train
A1IW0I0HSJIXCU,no,eval
A1UJU0ILHHPVD6,yes,eval
B002C802LSLU2,no,train
AW9ZO67B1CFCA,yes,train
looks g6LK,no,eval
A13AHMLB5Y72JN,no,train
AFXWDJOOGC5F-X,no,train
B005G mon$h ol,no,train
A2Z6WPCPLSZUQG,no,train
A3IN5354R47KJB,yes,train
A33IK22HHKYMT8,yes,train
